101	32	256
32	116	257
115	32	258
105	110	259
257	104	260
101	114	261
97	110	262
100	32	263
111	110	264
116	32	265
101	110	266
111	114	267
260	256	268
44	32	269
97	116	270
97	108	271
97	114	272
121	32	273
101	115	274
111	102	275
46	32	276
105	116	277
111	117	278
111	32	279
259	103	280
105	99	281
114	101	282
105	264	283
262	263	284
97	32	285
115	116	286
101	263	287
116	104	288
275	32	289
114	111	290
280	32	291
101	108	292
99	104	293
257	279	294
261	32	295
101	258	296
105	258	297
105	108	298
105	115	299
111	109	300
97	115	301
99	116	302
101	100	303
46	10	304
111	108	305
267	32	306
259	32	307
271	32	308
266	116	309
97	265	310
262	32	311
101	109	312
117	114	313
105	109	314
111	119	315
97	258	316
84	104	317
270	283	318
104	32	319
101	116	320
112	108	321
105	118	322
117	115	323
119	104	324
97	109	325
105	103	326
271	108	327
97	99	328
105	114	329
105	100	330
97	100	331
97	98	332
266	32	333
226	128	334
117	108	335
101	118	336
101	99	337
111	115	338
117	110	339
112	290	340
97	103	341
275	268	342
256	288	343
114	274	344
97	118	345
262	100	346
119	277	347
99	264	348
102	267	349
101	120	350
266	265	351
272	256	352
97	112	353
317	256	354
101	272	355
101	302	356
260	310	357
105	102	358
264	32	359
278	114	360
99	300	361
102	306	362
115	269	363
115	117	364
109	32	365
111	112	366
110	32	367
256	116	368
107	32	369
283	32	370
101	269	371
114	105	372
108	32	373
318	32	374
111	111	375
108	273	376
117	116	377
278	110	378
105	265	379
115	104	380
259	116	381
45	32	382
99	108	383
113	117	384
111	118	385
260	101	386
259	268	387
98	256	388
109	97	389
347	319	390
112	261	391
97	302	392
281	32	393
98	101	394
257	111	395
293	32	396
105	286	397
111	99	398
326	104	399
117	109	400
261	256	401
115	276	402
98	108	403
102	290	404
97	121	405
274	116	406
115	112	407
104	345	408
111	116	409
101	112	410
101	119	411
117	100	412
99	256	413
48	48	414
103	114	415
111	288	416
108	101	417
272	116	418
111	265	419
101	276	420
261	258	421
262	116	422
270	256	423
111	100	424
121	278	425
98	273	426
343	256	427
39	258	428
115	101	429
108	263	430
99	311	431
322	256	432
119	267	433
119	316	434
108	256	435
100	117	436
360	32	437
408	256	438
274	115	439
101	102	440
58	32	441
114	97	442
258	289	443
329	32	444
49	57	445
44	268	446
277	273	447
334	153	448
41	32	449
101	97	450
274	269	451
258	284	452
276	73	453
121	269	454
108	105	455
315	32	456
111	103	457
112	114	458
425	32	459
267	116	460
110	419	461
368	279	462
105	296	463
324	281	464
262	103	465
348	116	466
256	289	467
327	273	468
404	365	469
109	267	470
260	297	471
278	430	472
